,,,,,,Total Rank,Upper,,,Lower,,,UP+LO,,Static,,,Couple,,,LRO-T OA,,,LRO-B OA,,,RRO1 OA,,,RRO2 OA,,,RRO3 OA,,,LRO-T 1st,,,LRO-B 1st,,,RRO1 1st,,,RRO2 1st,,,RRO3 1st,,,LRO-T 2nd,,,LRO-B 2nd,,,RRO1 2nd,,,RRO2 2nd,,,RRO3 2nd,,,LRO-T Nth,,,LRO-B Nth,,,RRO1 Nth,,,RRO2 Nth,,,RRO3 Nth,,,LRO-T Bulge,,,LRO-B Bulge,,,LRO-T Dent,,,LRO-B Dent,,,Circuly,,OuterDiameter1,,OuterDiameter2,,OuterDiameter3,,RO TOTAL,Meas.Pressure,Weight,,Width,
362870,2023/10/25,08:21:33,21,175/70R14           ,88808,A,4.579,314.4,A,15.207,7.1,A,19.786,A,18.345,355.7,A,12.957,203.5,A,0.73,8.9,A,0.954,285.8,A,0,0,A,0.554,5.4,A,0,0,A,0.592,14.9,A,0.465,272.2,A,0,0,A,0.213,37,A,0,0,A,0.1,173.8,A,0.259,345.9,A,0,0,A,0.104,358.2,A,0,0,A,0.016,173.8,A,0.07,345.9,A,0,0,A,0.047,358.2,A,0,0,A,0.572,99.8,A,0.428,4.2,A,0.548,111.3,A,0.575,95.1,A,0.228,A,0,A,606.93,A,0,A,A,0,0,OK,0,A
362871,2023/10/25,08:22:05,21,175/70R14           ,88824,A,6.761,270.9,A,11.457,35.8,A,18.217,A,9.399,359.7,A,16.296,235.7,A,0.41,261.1,A,0.48,356.2,A,0,0,A,0.602,17.7,A,0,0,A,0.296,315.5,A,0.108,341.8,A,0,0,A,0.262,24.3,A,0,0,A,0.086,172.5,A,0.231,342.9,A,0,0,A,0.103,346.8,A,0,0,A,0.032,172.5,A,0.033,342.9,A,0,0,A,0.037,346.8,A,0,0,A,0.481,19.3,A,0.37,40,A,0.385,64.3,A,0.6,95.6,A,0.205,A,0,A,606.901,A,0,A,A,0,0,OK,0,A
362872,2023/10/25,08:22:34,21,175/70R14           ,88747,A,22.163,283.6,A,18.124,334.2,A,40.287,A,36.469,306.2,A,17.59,230.9,A,0.78,326.3,A,0.52,349.8,A,0,0,A,0.682,74.4,A,0,0,A,0.452,307.5,A,0.051,324.9,A,0,0,A,0.386,73.9,A,0,0,A,0.141,188.6,A,0.12,8.6,A,0,0,A,0.109,150.1,A,0,0,A,0.044,188.6,A,0.057,8.6,A,0,0,A,0.008,149.5,A,0,0,A,0.429,358,A,0.413,54.6,A,0.457,93.2,A,0.543,92.3,A,0.308,A,0,A,606.878,A,0,A,A,0,0,OK,0,A
362873,2023/10/25,08:23:05,21,175/70R14           ,88823,A,11.629,321.5,A,16.435,317.5,A,28.064,A,28.048,319.1,A,4.901,128,A,0.721,358.5,A,0.532,317.8,A,0,0,A,0.839,56.9,A,0,0,A,0.48,325.5,A,0.309,330,A,0,0,A,0.552,74.3,A,0,0,A,0.131,166.8,A,0.099,25.4,A,0,0,A,0.205,93.5,A,0,0,A,0.055,166.8,A,0.029,25.4,A,0,0,A,0.079,93.5,A,0,0,A,0.503,347.9,A,0.472,6.6,A,0.355,303.3,A,0.542,94.7,A,0.41,A,0,A,607.264,A,0,A,A,0,0,OK,0,A
362874,2023/10/25,08:23:33,21,175/70R14           ,88763,A,14.876,51.1,A,4.839,78.7,A,19.714,A,19.292,57.8,A,10.827,39.1,A,0.794,353,A,0.63,183.4,A,0,0,A,0.617,106.1,A,0,0,A,0.63,6.5,A,0.226,235.1,A,0,0,A,0.298,34.7,A,0,0,A,0.134,126.6,A,0.134,334.2,A,0,0,A,0.152,219.8,A,0,0,A,0.063,126.6,A,0.053,334.2,A,0,0,A,0.068,219.8,A,0,0,A,0.469,32.3,A,0.614,1.7,A,0.502,353.1,A,1.953,242.5,E,0.334,A,0,A,607.038,A,0,A,E,0,0,OK,0,A
362875,2023/10/25,08:24:01,21,175/70R14           ,88797,A,15.9,154.3,A,12.866,168.9,A,28.767,A,28.538,160.8,A,4.727,111.1,A,0.539,68.2,A,0.608,195.7,A,0,0,A,0.432,232.3,A,0,0,A,0.258,5.5,A,0.369,249.1,A,0,0,A,0.111,294.6,A,0,0,A,0.179,147.3,A,0.077,236.7,A,0,0,A,0.152,227.5,A,0,0,A,0.027,147.3,A,0.062,236.7,A,0,0,A,0.044,227.5,A,0,0,A,0.498,55,A,0.414,358.2,A,0.473,60.6,A,0.536,93.2,A,0.235,A,0,A,607.053,A,0,A,A,0,0,OK,0,A
362876,2023/10/25,08:24:29,21,175/70R14           ,88850,A,10.385,260.7,A,7.286,178.5,A,17.672,A,13.476,228.3,A,11.844,298.2,A,0.547,357.3,A,0.419,349.1,A,0,0,A,0.441,59.1,A,0,0,A,0.316,308.8,A,0.159,308,A,0,0,A,0.213,83.1,A,0,0,A,0.144,132.2,A,0.145,357.6,A,0,0,A,0.04,354.1,A,0,0,A,0.032,132.2,A,0.016,357.6,A,0,0,A,0.036,354.1,A,0,0,A,0.495,208.1,A,0.481,358.2,A,0.549,92.5,A,0.357,91.1,A,0.231,A,0,A,606.947,A,0,A,A,0,0,OK,0,A
362877,2023/10/25,08:24:57,21,175/70R14           ,88804,A,17.646,242.8,A,10.656,124.5,A,28.303,A,15.704,206.1,A,24.562,265.2,A,0.727,240.1,A,0.748,104.9,A,0,0,A,0.609,59.4,A,0,0,A,0.653,300.6,A,0.421,125.9,A,0,0,A,0.386,75,A,0,0,A,0.094,153.9,A,0.17,245.8,A,0,0,A,0.069,170.2,A,0,0,A,0.015,153.9,A,0.018,245.8,A,0,0,A,0.013,170.7,A,0,0,A,0.515,105.9,A,0.389,125.1,A,0.507,241.6,A,0.737,151.1,A,0.314,A,0,A,606.536,A,0,A,A,0,0,OK,0,A
362878,2023/10/25,08:25:25,21,175/70R14           ,88853,A,9.545,295,A,12.145,58.7,A,21.69,A,10.481,9.5,A,19.166,263.2,A,0.581,289.8,A,0.566,351.2,A,0,0,A,0.726,59.3,A,0,0,A,0.278,302.5,A,0.275,307.4,A,0,0,A,0.506,89.4,A,0,0,A,0.124,140.6,A,0.198,329.3,A,0,0,A,0.194,38.6,A,0,0,A,0.045,140.6,A,0.051,329.3,A,0,0,A,0.045,38,A,0,0,A,0.549,104.9,A,0.622,98.8,A,0.509,186.7,A,0.342,106.9,A,0.289,A,0,A,607.386,A,0,A,A,0,0,OK,0,A
362879,2023/10/25,08:25:56,21,175/70R14           ,88855,A,17.09,254.2,A,20.958,102.9,A,38.048,A,10.131,156.8,A,36.878,270,A,0.676,297.5,A,0.583,171.2,A,0,0,A,0.647,59.3,A,0,0,A,0.382,297.7,A,0.11,13.6,A,0,0,A,0.371,8.3,A,0,0,A,0.051,223,A,0.124,19.4,A,0,0,A,0.156,94,A,0,0,A,0.042,223,A,0.051,19.4,A,0,0,A,0.037,94,A,0,0,A,0.615,157.6,A,0.53,176,A,0.527,163.4,A,0.679,94.4,A,0.326,A,0,A,607.563,A,0,A,A,0,0,OK,0,A
362880,2023/10/25,08:26:26,21,175/70R14           ,88825,A,25.954,265.1,A,23.67,261.4,A,49.624,A,49.598,263.3,A,2.789,298.3,A,0.628,65.7,A,0.897,193.5,A,0,0,A,0.574,62.4,A,0,0,A,0.371,14.2,A,0.369,242.7,A,0,0,A,0.281,78.2,A,0,0,A,0.26,133.3,A,0.232,334.2,A,0,0,A,0.083,229.1,A,0,0,A,0.04,133.3,A,0.074,334.2,A,0,0,A,0.031,229.1,A,0,0,A,0.489,261.5,A,0.394,358.2,A,0.373,93,A,0.656,92,A,0.207,A,0,A,607.05,A,0,A,A,0,0,OK,0,A
362881,2023/10/25,08:26:53,21,175/70R14           ,88845,A,8.421,300.8,A,16.916,130.8,A,25.338,A,8.746,140.4,A,25.252,307.5,A,0.944,325.9,A,0.701,145.1,A,0,0,A,0.748,95.6,A,0,0,A,0.714,325.8,A,0.462,178,A,0,0,A,0.523,69.3,A,0,0,A,0.131,213.7,A,0.238,290.8,A,0,0,A,0.141,191.4,A,0,0,A,0.021,213.7,A,0.047,290.8,A,0,0,A,0.043,191.4,A,0,0,A,0.577,97.3,A,0.567,116.9,A,0.524,95.4,A,0.423,94.4,A,0.238,A,0,A,607.001,A,0,A,A,0,0,OK,0,A
362882,2023/10/25,08:27:20,21,175/70R14           ,88846,A,9.003,230.5,A,18.351,135,A,27.354,A,19.655,162.1,A,21.198,290,A,0.764,358.3,A,0.743,175.5,A,0,0,A,0.494,13.9,A,0,0,A,0.491,332.2,A,0.375,196.2,A,0,0,A,0.293,73,A,0,0,A,0.071,175.4,A,0.197,343.4,A,0,0,A,0.064,94.2,A,0,0,A,0.058,175.4,A,0.085,343.4,A,0,0,A,0.014,98,A,0,0,A,0.597,0,A,0.478,234.6,A,0.372,351.7,A,1.567,260.9,E,0.252,A,0,A,606.971,A,0,A,E,0,0,OK,0,A
362883,2023/10/25,08:28:05,21,175/70R14           ,88766,A,23.172,186.8,A,6.999,218.7,A,30.171,A,29.348,194.1,A,17.623,174.7,A,0.656,30.8,A,0.786,30.4,A,0,0,A,0.769,59.9,A,0,0,A,0.228,339.4,A,0.224,87,A,0,0,A,0.456,72.2,A,0,0,A,0.189,118.9,A,0.215,135.6,A,0,0,A,0.302,132.5,A,0,0,A,0.018,118.9,A,0.099,135.6,A,0,0,A,0.009,132.5,A,0,0,A,0.499,169.8,A,0.451,189.9,A,0.457,94.4,A,0.959,213.5,A,0.385,A,0,A,607.021,A,0,A,A,0,0,OK,0,A
362884,2023/10/25,08:28:35,21,175/70R14           ,88822,A,11.443,214.7,A,15.467,252.2,A,26.91,A,25.514,236.4,A,9.454,119.7,A,0.401,285.5,A,0.437,29.3,A,0,0,A,0.438,340.4,A,0,0,A,0.259,322.5,A,0.169,49.2,A,0,0,A,0.198,41.9,A,0,0,A,0.062,181.1,A,0.158,326.8,A,0,0,A,0.1,335.8,A,0,0,A,0.011,181.1,A,0.027,326.8,A,0,0,A,0.063,335.8,A,0,0,A,0.444,25.5,A,0.46,356.6,A,0.44,93.3,A,0.555,92.8,A,0.212,A,0,A,607.003,A,0,A,A,0,0,OK,0,A
362885,2023/10/25,08:29:25,21,175/70R14           ,88782,A,37.339,291.3,A,40.83,340.6,A,78.17,A,71.065,317.1,A,32.748,220.4,A,0.835,256.6,A,0.821,335,A,0,0,A,0.641,336.1,A,0,0,A,0.652,262.4,A,0.423,323.8,A,0,0,A,0.489,352.2,A,0,0,A,0.167,236.9,A,0.304,285.7,A,0,0,A,0.13,177.4,A,0,0,A,0.021,236.9,A,0.086,285.7,A,0,0,A,0.042,177.4,A,0,0,A,0.551,215.3,A,0.502,102.7,A,0.565,208.7,A,0.828,128.1,A,0.201,A,0,A,606.951,A,0,A,A,0,0,OK,0,A
362886,2023/10/25,08:29:52,21,175/70R14           ,88820,A,26.151,211.6,A,10.363,306.1,A,36.515,A,27.362,233.8,A,28.878,190.6,A,0.698,99.2,A,1.195,321.2,A,0,0,A,0.469,308.1,A,0,0,A,0.494,144.8,A,0.568,302.4,A,0,0,A,0.303,7.6,A,0,0,A,0.1,202.8,A,0.31,311.8,A,0,0,A,0.084,335.1,A,0,0,A,0.027,202.8,A,0.061,311.8,A,0,0,A,0.037,336.2,A,0,0,A,0.59,359.2,A,0.493,115.1,A,0.467,349.5,A,0.599,94.8,A,0.276,A,0,A,607.453,A,0,A,A,0,0,OK,0,A
362887,2023/10/25,08:30:24,21,175/70R14           ,88819,A,8.826,249.4,A,15.256,55.6,A,24.082,A,7.004,38.2,A,23.921,240.6,A,0.556,218.7,A,0.769,8.2,A,0,0,A,0.617,358.5,A,0,0,A,0.436,260.9,A,0.369,22.6,A,0,0,A,0.44,29.4,A,0,0,A,0.074,121,A,0.115,353.8,A,0,0,A,0.037,309.4,A,0,0,A,0.045,121,A,0.088,353.8,A,0,0,A,0.024,309.6,A,0,0,A,0.471,40.2,A,0.433,101.9,A,0.311,93.7,A,0.675,93.3,A,0.193,A,0,A,607.021,A,0,A,A,0,0,OK,0,A
362888,2023/10/25,08:30:54,21,175/70R14           ,88818,A,16.64,59.1,A,15.31,345.9,A,31.95,A,25.667,24.3,A,19.072,109.3,A,0.613,95,A,0.456,209.2,A,0,0,A,0.436,234.8,A,0,0,A,0.433,35.2,A,0.101,298.6,A,0,0,A,0.169,66.8,A,0,0,A,0.22,217.7,A,0.166,48.7,A,0,0,A,0.119,41.8,A,0,0,A,0.026,217.7,A,0.037,48.7,A,0,0,A,0.061,43.1,A,0,0,A,0.482,2.2,A,0.449,0.5,A,0.463,305.4,A,0.586,95.6,A,0.309,A,0,A,607.022,A,0,A,A,0,0,OK,0,A
362889,2023/10/25,08:31:46,21,175/70R14           ,88750,A,14.377,298.5,A,4.109,135.7,A,18.485,A,10.522,291.9,A,18.342,302.3,A,0.547,49.2,A,0.788,214.2,A,0,0,A,0.871,112.5,A,0,0,A,0.355,41.6,A,0.459,249.9,A,0,0,A,0.685,68.8,A,0,0,A,0.095,110.9,A,0.206,344.5,A,0,0,A,0.102,268.9,A,0,0,A,0.06,110.9,A,0.053,344.5,A,0,0,A,0.04,268.1,A,0,0,A,0.496,1.4,A,0.636,0.7,A,0.389,95,A,0.346,64,A,0.258,A,0,A,606.94,A,0,A,A,0,0,OK,0,A
362890,2023/10/25,08:32:13,21,175/70R14           ,88814,A,11.952,130,A,18.317,112.3,A,30.269,A,29.923,119.2,A,7.833,264.5,A,0.7,0.1,A,0.524,8.1,A,0,0,A,0.516,342.6,A,0,0,A,0.583,314.1,A,0.176,7.6,A,0,0,A,0.099,43.3,A,0,0,A,0.146,131.8,A,0.07,354.7,A,0,0,A,0.214,338.5,A,0,0,A,0.04,131.8,A,0.051,354.7,A,0,0,A,0.046,338.6,A,0,0,A,0.56,169.7,A,0.461,1.6,A,0.606,163.2,A,0.544,94.8,A,0.335,A,0,A,606.952,A,0,A,A,0,0,OK,0,A
362891,2023/10/25,08:32:40,21,175/70R14           ,88878,A,21.196,238.5,A,23.601,89.1,A,44.796,A,12.029,152.7,A,43.218,254.6,A,0.749,292.3,A,0.596,10.4,A,0,0,A,0.734,18.5,A,0,0,A,0.447,293,A,0.225,14.3,A,0,0,A,0.416,81,A,0,0,A,0.083,134.1,A,0.251,331.2,A,0,0,A,0.338,16.1,A,0,0,A,0.054,134.1,A,0.01,331.2,A,0,0,A,0.034,16.2,A,0,0,A,0.477,100.3,A,0.484,98.8,A,0.617,93,A,0.573,92.4,A,0.391,A,0,A,607.105,A,0,A,A,0,0,OK,0,A
362892,2023/10/25,08:33:09,21,175/70R14           ,88805,A,20.738,281.2,A,12.757,254.3,A,33.495,A,32.628,271,A,11.003,312.9,A,0.929,357.7,A,0.749,16,A,0,0,A,0.847,22.9,A,0,0,A,0.638,325.8,A,0.462,77.6,A,0,0,A,0.601,66.7,A,0,0,A,0.073,187.1,A,0.192,22.9,A,0,0,A,0.096,54.1,A,0,0,A,0.056,187.1,A,0.045,22.9,A,0,0,A,0.033,54.1,A,0,0,A,0.45,153.3,A,0.462,172.3,A,0.55,288.6,A,0.536,95,A,0.237,A,0,A,606.427,A,0,A,A,0,0,OK,0,A
362893,2023/10/25,08:33:37,21,175/70R14           ,88826,A,16.223,79.2,A,21.771,83,A,37.994,A,37.974,81.4,A,5.685,273.9,A,0.633,85.8,A,0.567,190.5,A,0,0,A,0.506,113,A,0,0,A,0.355,14.2,A,0.032,79.4,A,0,0,A,0.245,76.2,A,0,0,A,0.163,180.1,A,0.243,349.5,A,0,0,A,0.038,7.9,A,0,0,A,0.063,180.1,A,0.011,349.5,A,0,0,A,0.041,7.9,A,0,0,A,0.483,80.3,A,0.516,99.4,A,0.35,95.7,A,0.703,94.7,A,0.264,A,0,A,606.99,A,0,A,A,0,0,OK,0,A
362894,2023/10/25,08:34:05,21,175/70R14           ,88817,A,27.811,167,A,27.439,151.5,A,55.251,A,54.745,159.3,A,7.466,246.4,A,0.653,354.9,A,0.794,176.9,A,0,0,A,0.517,161.9,A,0,0,A,0.317,1.6,A,0.517,168.2,A,0,0,A,0.214,77,A,0,0,A,0.06,183.7,A,0.053,4.7,A,0,0,A,0.129,346.7,A,0,0,A,0.063,183.7,A,0.043,4.7,A,0,0,A,0.007,347.5,A,0,0,A,0.541,130.8,A,0.537,150.1,A,0.344,92.8,A,0.6,92.5,A,0.301,A,0,A,607.205,A,0,A,A,0,0,OK,0,A
362895,2023/10/25,08:34:57,21,175/70R14           ,88846,A,9.634,230.6,A,18.08,132.6,A,27.714,A,19.264,162.3,A,21.64,286.4,A,0.772,357.6,A,0.81,175.6,A,0,0,A,0.504,15.6,A,0,0,A,0.483,332.1,A,0.366,194.9,A,0,0,A,0.276,70.2,A,0,0,A,0.074,181.2,A,0.22,340.6,A,0,0,A,0.034,90,A,0,0,A,0.051,181.2,A,0.096,340.6,A,0,0,A,0.02,90,A,0,0,A,0.595,359.5,A,0.49,234.1,A,0.377,349.5,A,1.464,260,E,0.272,A,0,A,607.034,A,0,A,E,0,0,OK,0,A
362896,2023/10/25,08:35:47,21,175/70R14           ,88844,E,43.077,307.7,A,48.051,11.3,A,91.128,A,77.49,341.4,E,48.211,244.4,A,1.342,270.6,A,0.953,102.9,A,0,0,A,0.673,336.4,A,0,0,A,1.042,311.4,A,0.612,83.6,A,0,0,A,0.484,48.1,A,0,0,A,0.241,174.2,A,0.185,350.2,A,0,0,A,0.047,278.7,A,0,0,A,0.009,174.2,A,0.043,350.2,A,0,0,A,0.052,278.7,A,0,0,A,0.545,260,A,0.629,251.9,A,0.489,252.2,A,0.705,263.6,A,0.265,A,0,A,607.229,A,0,A,A,0,0,OK,0,A
362897,2023/10/25,08:36:14,21,175/70R14           ,88827,A,11.47,289.9,A,4.513,143.8,A,15.983,A,8.122,271.8,A,15.424,299.3,A,0.823,301.6,A,0.759,159.5,A,0,0,A,0.692,113.7,A,0,0,A,0.512,327.1,A,0.431,95.2,A,0,0,A,0.544,79.2,A,0,0,A,0.267,197.4,A,0.333,359.8,A,0,0,A,0.067,211.6,A,0,0,A,0.053,197.4,A,0.059,359.8,A,0,0,A,0.037,212.3,A,0,0,A,0.372,2.5,A,0.426,104.9,A,0.381,95.2,A,0.674,129.3,A,0.196,A,0,A,607.153,A,0,A,A,0,0,OK,0,A
362898,2023/10/25,08:36:41,21,175/70R14           ,88795,A,6.761,119.6,A,5.676,136,A,12.437,A,12.311,127.1,A,2.075,69,A,0.768,93.1,A,0.994,196.5,A,0,0,A,0.751,168.2,A,0,0,A,0.352,31.1,A,0.316,273.7,A,0,0,A,0.507,73.7,A,0,0,A,0.287,151.7,A,0.275,351.5,A,0,0,A,0.186,291.9,A,0,0,A,0.021,151.7,A,0.177,351.5,A,0,0,A,0.043,292.6,A,0,0,A,0.563,237.1,A,0.434,255.9,A,0.348,227.8,A,0.798,93.1,A,0.346,A,0,A,607.356,A,0,A,A,0,0,OK,0,A
362899,2023/10/25,08:37:08,21,175/70R14           ,88832,A,21.834,249.3,A,16.559,249.9,A,38.392,A,38.392,249.5,A,5.279,247.3,A,0.623,257.3,A,0.483,173.1,A,0,0,A,0.525,62.2,A,0,0,A,0.354,299.4,A,0.248,215.9,A,0,0,A,0.301,92.5,A,0,0,A,0.152,171.6,A,0.106,333.6,A,0,0,A,0.122,151.7,A,0,0,A,0.027,171.6,A,0.012,333.6,A,0,0,A,0.051,154,A,0,0,A,0.584,209.1,A,0.65,357.8,A,0.362,345.1,A,0.538,92.6,A,0.247,A,0,A,606.86,A,0,A,A,0,0,OK,0,A
362900,2023/10/25,08:37:36,21,175/70R14           ,88874,A,33.388,216.2,A,13.979,184.7,A,47.367,A,45.889,207.1,A,22.684,235.1,A,0.685,208.4,A,0.714,203.2,A,0,0,A,0.785,56.3,A,0,0,A,0.551,287.1,A,0.412,163.7,A,0,0,A,0.39,85.8,A,0,0,A,0.103,91.6,A,0.048,87.2,A,0,0,A,0.273,73.7,A,0,0,A,0.032,91.6,A,0.036,87.2,A,0,0,A,0.05,73.7,A,0,0,A,0.562,198.5,A,0.334,218.8,A,0.488,87.6,A,0.523,87.3,A,0.367,A,0,A,607.05,A,0,A,A,0,0,OK,0,A
362901,2023/10/25,08:38:06,21,175/70R14           ,88864,A,16.476,174.8,A,18.159,109.2,A,34.635,A,29.133,140.2,A,18.808,236.3,A,0.562,292.6,A,0.753,151.5,A,0,0,A,0.672,56.8,A,0,0,A,0.162,297.9,A,0.141,101.2,A,0,0,A,0.43,78.8,A,0,0,A,0.104,216.7,A,0.205,332.1,A,0,0,A,0.181,3.1,A,0,0,A,0.035,216.7,A,0.102,332.1,A,0,0,A,0.011,3.1,A,0,0,A,0.796,103.9,A,0.45,123.9,A,0.473,15.5,A,0.54,98.4,A,0.288,A,0,A,607.722,A,0,A,A,0,0,OK,0,A
362902,2023/10/25,08:38:33,21,175/70R14           ,88857,A,26.379,259.4,A,31.874,254.6,A,58.253,A,58.202,256.7,A,6.016,52.8,A,0.441,310.8,A,0.489,171.9,A,0,0,A,0.648,220,A,0,0,A,0.251,295.4,A,0.118,185.1,A,0,0,A,0.213,74.9,A,0,0,A,0.047,139.9,A,0.16,324.8,A,0,0,A,0.151,42.4,A,0,0,A,0.037,139.9,A,0.055,324.8,A,0,0,A,0.045,42.4,A,0,0,A,0.505,296.5,A,0.428,315.9,A,0.542,265.5,A,0.476,82.5,A,0.387,A,0,A,607.417,A,0,A,A,0,0,OK,0,A
362903,2023/10/25,08:39:28,21,175/70R14           ,88767,A,11.127,297.2,A,15.016,11.4,A,26.143,A,20.994,340.7,A,16.058,233.2,A,0.58,241.7,A,0.438,129.6,A,0,0,A,0.555,232.8,A,0,0,A,0.276,289.8,A,0.167,157.4,A,0,0,A,0.103,56.7,A,0,0,A,0.093,158.6,A,0.093,330.7,A,0,0,A,0.043,91,A,0,0,A,0.07,158.6,A,0.015,330.7,A,0,0,A,0.068,91,A,0,0,A,0.512,287.1,A,1.135,337.6,E,0.467,94.3,A,2.152,333.5,E,0.352,A,0,A,607.056,A,0,A,E,0,0,OK,0,A
362904,2023/10/25,08:39:59,21,175/70R14           ,88767,A,11.513,297.3,A,14.557,15.9,A,26.07,A,20.267,342,A,16.678,238.5,A,0.583,244.2,A,0.446,132.3,A,0,0,A,0.531,235.5,A,0,0,A,0.29,291.3,A,0.199,145.4,A,0,0,A,0.1,63.5,A,0,0,A,0.092,164,A,0.076,317.5,A,0,0,A,0.041,101.4,A,0,0,A,0.075,164,A,0.023,317.5,A,0,0,A,0.06,101.4,A,0,0,A,0.534,289.5,A,0.47,339,A,0.478,96.9,A,0.809,336.6,A,0.326,A,0,A,607.07,A,0,A,A,0,0,OK,0,A
362905,2023/10/25,08:40:26,21,175/70R14           ,88791,A,8.761,231,A,8.734,168.4,A,17.495,A,14.949,199.7,A,9.089,289.5,A,0.682,341.5,A,0.444,187,A,0,0,A,0.69,21.6,A,0,0,A,0.515,326.7,A,0.102,140.5,A,0,0,A,0.482,63.4,A,0,0,A,0.133,160.2,A,0.195,13.9,A,0,0,A,0.143,68.7,A,0,0,A,0.048,160.2,A,0.053,13.9,A,0,0,A,0.049,69.3,A,0,0,A,0.525,133.9,A,0.423,153.8,A,0.341,269.8,A,1.276,179.9,A,0.282,A,0,A,606.934,A,0,A,A,0,0,OK,0,A
362906,2023/10/25,08:40:58,21,175/70R14           ,88794,A,4.383,278.9,A,6.666,22.9,A,11.049,A,7.037,345.7,A,8.819,231.7,A,0.686,236.9,A,0.735,341.1,A,0,0,A,0.754,57.6,A,0,0,A,0.129,289,A,0.476,322.3,A,0,0,A,0.531,34.5,A,0,0,A,0.187,139.9,A,0.122,46.5,A,0,0,A,0.096,121.6,A,0,0,A,0.05,139.9,A,0.078,46.5,A,0,0,A,0.09,121.6,A,0,0,A,0.572,0.8,A,0.615,358.1,A,0.456,352.5,A,0.579,93.3,A,0.349,A,0,A,607.223,A,0,A,A,0,0,OK,0,A
362907,2023/10/25,08:41:25,21,175/70R14           ,88796,A,14.394,245.8,A,10.101,3.1,A,24.495,A,13.254,288.4,A,21.042,220.5,A,0.728,335.4,A,0.812,139.2,A,0,0,A,0.412,161.8,A,0,0,A,0.622,337.2,A,0.277,209.4,A,0,0,A,0.155,80.6,A,0,0,A,0.132,239.2,A,0.215,279,A,0,0,A,0.142,270.7,A,0,0,A,0.024,239.2,A,0.01,279,A,0,0,A,0.031,270.7,A,0,0,A,0.48,259.8,A,0.462,279.8,A,0.429,94,A,0.436,51.6,A,0.316,A,0,A,606.933,A,0,A,A,0,0,OK,0,A
362908,2023/10/25,08:41:55,21,175/70R14           ,88858,A,26.995,198,A,19.753,135.9,A,46.748,A,40.215,172.3,A,24.912,242.5,A,0.382,265,A,0.614,12.4,A,0,0,A,0.551,58.6,A,0,0,A,0.203,278.5,A,0.211,299.3,A,0,0,A,0.284,62.1,A,0,0,A,0.027,182.9,A,0.243,5.9,A,0,0,A,0.182,13,A,0,0,A,0.049,182.9,A,0.016,5.9,A,0,0,A,0.05,12.5,A,0,0,A,0.608,0.9,A,0.411,180.6,A,0.451,94.8,A,0.603,94.7,A,0.288,A,0,A,607.721,A,0,A,A,0,0,OK,0,A
362909,2023/10/25,08:42:23,21,175/70R14           ,88849,A,23.835,324.4,A,12.294,303.2,A,36.13,A,35.578,317.2,A,13.145,344.1,A,0.697,276.7,A,0.588,19.5,A,0,0,A,0.412,21.3,A,0,0,A,0.461,325.7,A,0.131,318.5,A,0,0,A,0.199,53.7,A,0,0,A,0.214,174.7,A,0.198,26.5,A,0,0,A,0.091,348.7,A,0,0,A,0.07,174.7,A,0.054,26.5,A,0,0,A,0.019,348.7,A,0,0,A,0.614,350.4,A,0.499,4,A,0.625,8.9,A,0.451,1.4,A,0.15,A,0,A,606.586,A,0,A,A,0,0,OK,0,A
362910,2023/10/25,08:42:52,21,175/70R14           ,88848,A,23.177,305.6,A,14.022,97.1,A,37.199,A,12.75,337.2,A,36.125,294.9,A,0.783,295.7,A,0.469,180.9,A,0,0,A,0.56,161.5,A,0,0,A,0.656,296.5,A,0.306,151.3,A,0,0,A,0.278,85.3,A,0,0,A,0.162,226.2,A,0.047,230.5,A,0,0,A,0.129,292.9,A,0,0,A,0.014,226.2,A,0.021,230.5,A,0,0,A,0.024,292.9,A,0,0,A,0.52,290.2,A,0.552,358.3,A,0.45,94.4,A,0.428,93.7,A,0.272,A,0,A,606.769,A,0,A,A,0,0,OK,0,A
362911,2023/10/25,08:43:23,21,175/70R14           ,88748,A,5.976,212.9,A,26.61,50.7,A,32.586,A,21.002,55.7,A,32.35,227.5,A,0.532,259.5,A,0.775,9.8,A,0,0,A,0.826,77,A,0,0,A,0.351,278.4,A,0.425,60.2,A,0,0,A,0.652,76,A,0,0,A,0.174,178.7,A,0.441,328.6,A,0,0,A,0.156,340,A,0,0,A,0.034,178.7,A,0.041,328.6,A,0,0,A,0.021,340.1,A,0,0,A,0.465,47.2,A,0.428,95.4,A,0.415,88.8,A,0.694,87.7,A,0.224,A,0,A,607.295,A,0,A,A,0,0,OK,0,A
362912,2023/10/25,08:43:53,21,175/70R14           ,88854,A,2.685,317.4,A,15.99,75.5,A,18.674,A,14.915,66.4,A,17.416,263.3,A,0.758,324.3,A,0.933,66.9,A,0,0,A,0.675,58.8,A,0,0,A,0.611,272.5,A,0.472,85,A,0,0,A,0.341,51.3,A,0,0,A,0.116,211.8,A,0.258,165.8,A,0,0,A,0.191,208.1,A,0,0,A,0.016,211.8,A,0.043,165.8,A,0,0,A,0.058,209,A,0,0,A,0.551,328.1,A,0.556,325,A,0.508,347.6,A,0.443,5.5,A,0.284,A,0,A,607.422,A,0,A,A,0,0,OK,0,A
